Rank,asset,P(compromised|evidence),severity,scope_mult,impact,risk,risk_level
1,VPN_Gateway,1.0,1.0,1.0,1.0,1.0,High
2,Firewall,1.0,1.0,1.0,1.0,1.0,High
3,Remote_Access_Server,1.0,1.0,1.0,1.0,1.0,High
4,Engineering_Workstation,1.0,1.0,1.0,1.0,1.0,High
5,DMZ,0.693028,1.0,1.0,1.0,0.693028,Moderate
6,Corporate_Network,0.693028,1.0,1.0,1.0,0.693028,Moderate
7,Patch_Management_Server,0.652689,1.0,1.0,1.0,0.652689,Moderate
8,SCADA_Server,0.652689,1.0,1.0,1.0,0.652689,Moderate
9,Domain_Controller,0.652689,1.0,1.0,1.0,0.652689,Moderate
10,HMI,0.650168,1.0,1.0,1.0,0.650168,Moderate
11,OPC_Server,0.650168,1.0,1.0,1.0,0.650168,Moderate
12,Historian,0.650168,1.0,1.0,1.0,0.650168,Moderate
13,Safety_PLC,0.650168,1.0,1.0,1.0,0.650168,Moderate
14,PLC_1,0.650011,1.0,1.0,1.0,0.650011,Moderate
15,PLC_2,0.650011,1.0,1.0,1.0,0.650011,Moderate
16,RTU,0.650001,1.0,1.0,1.0,0.650001,Moderate
17,Remote_Site,0.65,1.0,1.0,1.0,0.65,Moderate
18,Internet,0.632353,1.0,1.0,1.0,0.632353,Moderate
19,Level_3_Switch,0.609375,1.0,1.0,1.0,0.609375,Moderate
20,Level_2_Switch,0.609375,1.0,1.0,1.0,0.609375,Moderate
21,Sensor,0.205236,0.1,1.0,0.1,0.020524,Low
22,Actuator,0.112962,0.1,1.0,0.1,0.011296,Low
